x,y,z
-1.18,-0.24,0.25
-1.18,-0.235,0.25
-1.18,-0.23,0.25
-1.175,-0.225,0.25
-1.17,-0.215,0.25
-1.165,-0.205,0.25
-1.16,-0.19,0.255
-1.15,-0.175,0.255
-1.14,-0.155,0.255
-1.125,-0.135,0.255
-1.11,-0.115,0.26
-1.095,-0.085,0.26
-1.08,-0.06,0.26
-1.06,-0.03,0.265
-1.045,-0.0,0.265
-1.025,0.03,0.27
-1.01,0.06,0.27
-0.995,0.09,0.27
-0.98,0.12,0.275
-0.965,0.155,0.275
-0.95,0.185,0.275
-0.935,0.21,0.28
-0.92,0.24,0.28
-0.91,0.265,0.28
-0.895,0.295,0.285
-0.88,0.32,0.285
-0.865,0.35,0.285
-0.855,0.375,0.285
-0.84,0.395,0.29
-0.83,0.42,0.29
-0.82,0.445,0.29
-0.805,0.465,0.285
-0.795,0.485,0.285
-0.785,0.51,0.28
-0.77,0.53,0.275
-0.76,0.555,0.27
-0.75,0.575,0.265
-0.735,0.6,0.255
-0.725,0.62,0.25
-0.71,0.65,0.24
-0.7,0.675,0.235
-0.685,0.7,0.225
-0.67,0.73,0.22
-0.655,0.765,0.215
-0.645,0.795,0.21
-0.63,0.83,0.205
-0.615,0.865,0.2
-0.6,0.9,0.2
-0.585,0.945,0.2
-0.575,0.985,0.205
-0.565,1.03,0.205
-0.555,1.07,0.21
-0.545,1.12,0.22
-0.54,1.17,0.225
-0.535,1.22,0.235
-0.53,1.275,0.245
-0.53,1.325,0.255
-0.53,1.375,0.265
-0.53,1.43,0.28
-0.535,1.48,0.29
-0.54,1.53,0.3
-0.54,1.58,0.305
-0.545,1.63,0.315
-0.55,1.685,0.325
-0.56,1.735,0.33
-0.565,1.785,0.34
-0.575,1.83,0.345
-0.585,1.88,0.35
-0.6,1.93,0.355
-0.62,1.98,0.36
-0.64,2.025,0.365
-0.665,2.075,0.37
-0.685,2.115,0.375
-0.71,2.16,0.375
-0.735,2.205,0.38
-0.76,2.25,0.385
-0.78,2.29,0.39
-0.8,2.335,0.39
-0.815,2.385,0.395
-0.83,2.435,0.395
-0.84,2.48,0.4
-0.85,2.53,0.405
-0.855,2.585,0.405
-0.855,2.635,0.41
-0.86,2.69,0.415
-0.855,2.745,0.415
-0.855,2.8,0.42
-0.85,2.85,0.42
-0.85,2.905,0.425
-0.845,2.96,0.425
-0.84,3.015,0.43
-0.835,3.065,0.435
-0.83,3.115,0.435
-0.83,3.16,0.44
-0.825,3.21,0.44
-0.82,3.26,0.445
-0.82,3.305,0.445
-0.815,3.355,0.45
-0.815,3.405,0.45
-0.81,3.46,0.455
-0.81,3.505,0.455
-0.805,3.555,0.46
-0.805,3.605,0.465
-0.805,3.66,0.465
-0.8,3.71,0.47
-0.8,3.76,0.47
-0.8,3.81,0.475
-0.795,3.865,0.475
-0.795,3.91,0.48
-0.795,3.965,0.48
-0.79,4.01,0.485
-0.79,4.065,0.485
-0.795,4.11,0.49
-0.795,4.155,0.49
-0.8,4.2,0.495
-0.8,4.25,0.495
-0.805,4.29,0.495
-0.815,4.33,0.5
-0.82,4.37,0.5
-0.825,4.405,0.5
-0.835,4.445,0.5
-0.84,4.48,0.5
-0.845,4.51,0.505
-0.85,4.54,0.505
-0.855,4.565,0.505
-0.855,4.59,0.505
-0.855,4.61,0.505
-0.85,4.63,0.505
-0.85,4.645,0.505
-0.84,4.66,0.505
-0.835,4.675,0.505
-0.825,4.685,0.505
-0.81,4.695,0.505
-0.795,4.7,0.505
-0.775,4.705,0.5
-0.76,4.71,0.5
-0.735,4.71,0.5
-0.71,4.71,0.5
-0.685,4.705,0.5
-0.66,4.705,0.5
-0.63,4.7,0.5
-0.6,4.695,0.5
-0.57,4.685,0.5
-0.54,4.675,0.5
-0.5,4.665,0.5
-0.47,4.655,0.5
-0.43,4.645,0.5
-0.39,4.63,0.5
-0.35,4.615,0.5
-0.31,4.6,0.5
-0.27,4.585,0.5
-0.225,4.57,0.5
-0.18,4.555,0.5
-0.135,4.535,0.5
-0.085,4.515,0.5
-0.045,4.5,0.5
-0.005,4.485,0.5
0.04,4.465,0.5
0.08,4.45,0.5
0.115,4.435,0.5
0.145,4.42,0.5
0.175,4.41,0.5
0.195,4.395,0.5
0.21,4.38,0.5
0.22,4.36,0.5
0.23,4.335,0.5
0.23,4.305,0.5
0.225,4.275,0.5
0.215,4.245,0.5
0.205,4.205,0.5
0.19,4.165,0.5
0.17,4.12,0.5
0.15,4.07,0.5
0.13,4.025,0.5
0.105,3.975,0.5
0.085,3.935,0.5
0.065,3.89,0.5
0.045,3.845,0.5
0.03,3.805,0.5
0.015,3.77,0.5
-0.0,3.73,0.5
-0.015,3.695,0.5
-0.025,3.66,0.5
-0.035,3.625,0.5
-0.045,3.595,0.5
-0.055,3.56,0.5
-0.06,3.53,0.5
-0.065,3.505,0.5
-0.065,3.48,0.5
-0.065,3.455,0.5
-0.065,3.43,0.5
-0.065,3.41,0.5
-0.065,3.385,0.5
-0.06,3.365,0.5
-0.06,3.34,0.5
-0.055,3.32,0.5
-0.055,3.305,0.5
-0.055,3.285,0.5
-0.05,3.265,0.5
-0.05,3.25,0.5
-0.05,3.235,0.5
-0.05,3.215,0.5
-0.05,3.2,0.5
-0.055,3.185,0.5
-0.055,3.17,0.5
-0.06,3.15,0.5
-0.065,3.135,0.5
-0.07,3.115,0.5
-0.075,3.1,0.5
-0.085,3.085,0.5
-0.09,3.07,0.5
-0.1,3.05,0.5
-0.11,3.035,0.5
-0.12,3.015,0.5
-0.135,2.995,0.5
-0.145,2.98,0.5
-0.16,2.96,0.5
-0.175,2.94,0.5
-0.185,2.92,0.5
-0.2,2.9,0.5
-0.215,2.88,0.5
-0.23,2.86,0.5
-0.245,2.84,0.5
-0.26,2.82,0.5
-0.275,2.8,0.5
-0.29,2.775,0.5
-0.305,2.755,0.5
-0.325,2.73,0.5
-0.34,2.705,0.5
-0.355,2.685,0.5
-0.37,2.655,0.5
-0.385,2.635,0.5
-0.4,2.61,0.5
-0.415,2.585,0.5
-0.43,2.555,0.5
-0.44,2.53,0.5
-0.455,2.5,0.5
-0.465,2.475,0.5
-0.48,2.445,0.5
-0.49,2.41,0.5
-0.5,2.38,0.5
-0.505,2.34,0.5
-0.515,2.3,0.5
-0.52,2.26,0.5
-0.525,2.22,0.5
-0.525,2.175,0.5
-0.53,2.13,0.5
-0.53,2.085,0.5
-0.53,2.035,0.5
-0.53,1.985,0.5
-0.525,1.935,0.5
-0.525,1.88,0.5
-0.525,1.825,0.5
-0.525,1.77,0.5
-0.525,1.72,0.5
-0.525,1.665,0.5
-0.53,1.615,0.5
-0.535,1.56,0.5
-0.54,1.505,0.5
-0.555,1.455,0.5
-0.565,1.41,0.5
-0.58,1.365,0.5
-0.6,1.32,0.5
-0.62,1.275,0.5
-0.645,1.235,0.5
-0.67,1.19,0.5
-0.695,1.155,0.5
-0.725,1.11,0.5
-0.755,1.065,0.5
-0.79,1.025,0.5
-0.82,0.98,0.5
-0.85,0.945,0.5
-0.885,0.9,0.5
-0.915,0.86,0.5
-0.945,0.815,0.5
-0.97,0.77,0.5
-1.0,0.725,0.5
-1.025,0.685,0.5
-1.045,0.64,0.5
-1.07,0.595,0.5
-1.085,0.555,0.5
-1.105,0.52,0.5
-1.12,0.48,0.5
-1.13,0.45,0.5
-1.14,0.42,0.5
-1.145,0.4,0.5
-1.155,0.38,0.5
-1.155,0.37,0.5
-1.16,0.36,0.5
